d,s,noise,rep,seed,method,fdr,tpr,shd,tp,fp,fn,estimated_edges,greedy_bic_gap,greedy_suboptimal,exact_greedy_jaccard
10,2,normal,0,1032123,NOTEARS,0.1111111111111111,0.8,5,16,2,4,18,0.0,False,1.0
10,2,normal,0,1032123,LOCAL_BIC_EXACT,0.1111111111111111,0.8,5,16,2,4,18,0.0,False,1.0
10,2,normal,0,1032123,LOCAL_BIC_GREEDY,0.1111111111111111,0.8,5,16,2,4,18,0.0,False,1.0
10,2,normal,0,1032123,STD_NOTEARS,0.625,0.15,17,3,5,17,8,0.0,False,1.0
10,2,normal,0,1032123,STD_LOCAL_BIC_EXACT,0.625,0.15,17,3,5,17,8,0.0,False,1.0
10,2,normal,1,1032124,NOTEARS,0.11764705882352941,0.75,6,15,2,5,17,0.0,False,1.0
10,2,normal,1,1032124,LOCAL_BIC_EXACT,0.11764705882352941,0.75,6,15,2,5,17,0.0,False,1.0
10,2,normal,1,1032124,LOCAL_BIC_GREEDY,0.11764705882352941,0.75,6,15,2,5,17,0.0,False,1.0
10,2,normal,1,1032124,STD_NOTEARS,0.9230769230769231,0.05,22,1,12,19,13,0.0,False,1.0
10,2,normal,1,1032124,STD_LOCAL_BIC_EXACT,0.9230769230769231,0.05,22,1,12,19,13,0.0,False,1.0
10,2,normal,2,1032125,NOTEARS,0.05263157894736842,0.9,2,18,1,2,19,0.0,False,1.0
10,2,normal,2,1032125,LOCAL_BIC_EXACT,0.05263157894736842,0.9,2,18,1,2,19,0.0,False,1.0
10,2,normal,2,1032125,LOCAL_BIC_GREEDY,0.05263157894736842,0.9,2,18,1,2,19,0.0,False,1.0
10,2,normal,2,1032125,STD_NOTEARS,0.8461538461538461,0.1,24,2,11,18,13,0.0,False,1.0
10,2,normal,2,1032125,STD_LOCAL_BIC_EXACT,0.8461538461538461,0.1,24,2,11,18,13,0.0,False,1.0
10,2,normal,3,1032126,NOTEARS,0.0,0.95,1,19,0,1,19,0.0,False,1.0
10,2,normal,3,1032126,LOCAL_BIC_EXACT,0.0,0.95,1,19,0,1,19,0.0,False,1.0
10,2,normal,3,1032126,LOCAL_BIC_GREEDY,0.0,0.95,1,19,0,1,19,0.0,False,1.0
10,2,normal,3,1032126,STD_NOTEARS,0.8888888888888888,0.05,22,1,8,19,9,0.0,False,1.0
10,2,normal,3,1032126,STD_LOCAL_BIC_EXACT,0.8888888888888888,0.05,22,1,8,19,9,0.0,False,1.0
10,2,normal,4,1032127,NOTEARS,0.0,1.0,0,20,0,0,20,0.0,False,1.0
10,2,normal,4,1032127,LOCAL_BIC_EXACT,0.0,1.0,0,20,0,0,20,0.0,False,1.0
10,2,normal,4,1032127,LOCAL_BIC_GREEDY,0.0,1.0,0,20,0,0,20,0.0,False,1.0
10,2,normal,4,1032127,STD_NOTEARS,0.5454545454545454,0.25,15,5,6,15,11,0.0,False,1.0
10,2,normal,4,1032127,STD_LOCAL_BIC_EXACT,0.5454545454545454,0.25,15,5,6,15,11,0.0,False,1.0
10,2,normal,5,1032128,NOTEARS,0.1111111111111111,0.8,5,16,2,4,18,0.0,False,1.0
10,2,normal,5,1032128,LOCAL_BIC_EXACT,0.1111111111111111,0.8,5,16,2,4,18,0.0,False,1.0
10,2,normal,5,1032128,LOCAL_BIC_GREEDY,0.1111111111111111,0.8,5,16,2,4,18,0.0,False,1.0
10,2,normal,5,1032128,STD_NOTEARS,0.7,0.15,17,3,7,17,10,0.0,False,1.0
10,2,normal,5,1032128,STD_LOCAL_BIC_EXACT,0.7,0.15,17,3,7,17,10,0.0,False,1.0
10,2,normal,6,1032129,NOTEARS,0.058823529411764705,0.8,5,16,1,4,17,0.0,False,1.0
10,2,normal,6,1032129,LOCAL_BIC_EXACT,0.058823529411764705,0.8,5,16,1,4,17,0.0,False,1.0
10,2,normal,6,1032129,LOCAL_BIC_GREEDY,0.058823529411764705,0.8,5,16,1,4,17,0.0,False,1.0
10,2,normal,6,1032129,STD_NOTEARS,0.6,0.2,19,4,6,16,10,0.0,False,1.0
10,2,normal,6,1032129,STD_LOCAL_BIC_EXACT,0.6,0.2,19,4,6,16,10,0.0,False,1.0
10,2,normal,7,1032130,NOTEARS,0.0,0.95,1,19,0,1,19,0.0,False,1.0
10,2,normal,7,1032130,LOCAL_BIC_EXACT,0.0,0.95,1,19,0,1,19,0.0,False,1.0
10,2,normal,7,1032130,LOCAL_BIC_GREEDY,0.0,0.95,1,19,0,1,19,0.0,False,1.0
10,2,normal,7,1032130,STD_NOTEARS,0.5,0.25,16,5,5,15,10,0.0,False,1.0
10,2,normal,7,1032130,STD_LOCAL_BIC_EXACT,0.5,0.25,16,5,5,15,10,0.0,False,1.0
10,2,normal,8,1032131,NOTEARS,0.0,1.0,0,20,0,0,20,0.0,False,1.0
10,2,normal,8,1032131,LOCAL_BIC_EXACT,0.0,1.0,0,20,0,0,20,0.0,False,1.0
10,2,normal,8,1032131,LOCAL_BIC_GREEDY,0.0,1.0,0,20,0,0,20,0.0,False,1.0
