d,s,noise,rep,seed,notears_edges,exact_edges,greedy_edges,false_positive_removals,true_positive_removals,candidate_max_indegree,greedy_bic_gap,greedy_suboptimal,exact_greedy_jaccard
10,2,normal,0,1032123,18,18,18,0,0,4,0.0,False,1.0
10,2,normal,1,1032124,17,17,17,0,0,5,0.0,False,1.0
10,2,normal,2,1032125,19,19,19,0,0,4,0.0,False,1.0
10,2,normal,3,1032126,19,19,19,0,0,7,0.0,False,1.0
10,2,normal,4,1032127,20,20,20,0,0,5,0.0,False,1.0
10,2,normal,5,1032128,18,18,18,0,0,7,0.0,False,1.0
10,2,normal,6,1032129,17,17,17,0,0,3,0.0,False,1.0
10,2,normal,7,1032130,19,19,19,0,0,4,0.0,False,1.0
10,2,normal,8,1032131,20,20,20,0,0,4,0.0,False,1.0
10,2,normal,9,1032132,20,19,19,1,0,6,0.0,False,1.0
10,2,normal,10,1032133,18,18,18,0,0,5,0.0,False,1.0
10,2,normal,11,1032134,15,14,14,0,1,4,0.0,False,1.0
10,2,normal,12,1032135,15,15,15,0,0,4,0.0,False,1.0
10,2,normal,13,1032136,19,19,19,0,0,6,0.0,False,1.0
10,2,normal,14,1032137,20,20,20,0,0,4,0.0,False,1.0
10,2,normal,15,1032138,16,16,16,0,0,3,0.0,False,1.0
10,2,normal,16,1032139,20,20,20,0,0,5,0.0,False,1.0
10,2,normal,17,1032140,19,19,19,0,0,4,0.0,False,1.0
10,2,normal,18,1032141,19,19,19,0,0,4,0.0,False,1.0
10,2,normal,19,1032142,20,20,20,0,0,4,0.0,False,1.0
10,2,exponential,0,1032133,18,18,18,0,0,5,0.0,False,1.0
10,2,exponential,1,1032134,19,19,19,0,0,6,0.0,False,1.0
10,2,exponential,2,1032135,15,15,15,0,0,4,0.0,False,1.0
10,2,exponential,3,1032136,19,19,19,0,0,6,0.0,False,1.0
10,2,exponential,4,1032137,19,19,19,0,0,3,0.0,False,1.0
10,2,exponential,5,1032138,18,18,18,0,0,4,0.0,False,1.0
10,2,exponential,6,1032139,19,19,19,0,0,4,0.0,False,1.0
10,2,exponential,7,1032140,18,18,18,0,0,4,0.0,False,1.0
10,2,exponential,8,1032141,18,18,18,0,0,4,0.0,False,1.0
10,2,exponential,9,1032142,20,20,20,0,0,4,0.0,False,1.0
10,2,exponential,10,1032143,20,20,20,0,0,5,0.0,False,1.0
10,2,exponential,11,1032144,20,20,20,0,0,5,0.0,False,1.0
10,2,exponential,12,1032145,17,17,17,0,0,4,0.0,False,1.0
10,2,exponential,13,1032146,17,17,17,0,0,4,0.0,False,1.0
10,2,exponential,14,1032147,20,20,20,0,0,6,0.0,False,1.0
10,2,exponential,15,1032148,21,20,20,1,0,6,0.0,False,1.0
10,2,exponential,16,1032149,18,18,18,0,0,6,0.0,False,1.0
10,2,exponential,17,1032150,18,18,18,0,0,4,0.0,False,1.0
10,2,exponential,18,1032151,16,16,16,0,0,6,0.0,False,1.0
10,2,exponential,19,1032152,20,20,20,0,0,6,0.0,False,1.0
10,2,gumbel,0,1032143,20,20,20,0,0,5,0.0,False,1.0
10,2,gumbel,1,1032144,20,20,20,0,0,5,0.0,False,1.0
10,2,gumbel,2,1032145,17,17,17,0,0,4,0.0,False,1.0
10,2,gumbel,3,1032146,17,17,17,0,0,4,0.0,False,1.0
