setting,method,replicates,fdr_mean,tpr_mean,shd_mean,edges_mean,tp_mean,fp_mean,fn_mean,reversals_mean,varsortability_mean
clean_sparse,Candidate,100,0.0,1.0,0.0,20.0,20.0,0.0,0.0,0.0,0.9635670400574233
clean_sparse,Exact local BIC,100,0.0,1.0,0.0,20.0,20.0,0.0,0.0,0.0,0.9635670400574233
clean_sparse,Greedy local BIC,100,0.0,1.0,0.0,20.0,20.0,0.0,0.0,0.0,0.9635670400574233
combined_contamination,Candidate,100,0.42857142857142855,0.8,28.0,56.0,32.0,24.0,8.0,4.0,0.505542342107933
combined_contamination,Exact local BIC,100,0.19482127250298512,0.7625,13.41,38.0,30.5,7.5,9.5,3.59,0.505542342107933
combined_contamination,Greedy local BIC,100,0.19576711944883204,0.76325,13.41,38.08,30.53,7.55,9.47,3.61,0.505542342107933
dense_high_indegree,Candidate,100,0.5,1.0,40.0,80.0,40.0,40.0,0.0,0.0,0.9753885247928566
dense_high_indegree,Exact local BIC,100,0.013265267536396294,1.0,0.55,40.55,40.0,0.55,0.0,0.0,0.9753885247928566
dense_high_indegree,Greedy local BIC,100,0.014626583475137076,1.0,0.61,40.61,40.0,0.61,0.0,0.0,0.9753885247928566
dense_moderate,Candidate,100,0.33333333333333326,1.0,20.0,60.0,40.0,20.0,0.0,0.0,0.9738534908567122
dense_moderate,Exact local BIC,100,0.006771196283391405,1.0,0.28,40.28,40.0,0.28,0.0,0.0,0.9738534908567122
dense_moderate,Greedy local BIC,100,0.006771196283391405,1.0,0.28,40.28,40.0,0.28,0.0,0.0,0.9738534908567122
fp_025,Candidate,100,0.2,1.0,5.0,25.0,20.0,5.0,0.0,0.0,0.9661405662102731
fp_025,Exact local BIC,100,0.0014285714285714286,1.0,0.03,20.03,20.0,0.03,0.0,0.0,0.9661405662102731
fp_025,Greedy local BIC,100,0.0014285714285714286,1.0,0.03,20.03,20.0,0.03,0.0,0.0,0.9661405662102731
fp_050,Candidate,100,0.33333333333333326,1.0,10.0,30.0,20.0,10.0,0.0,0.0,0.9621692299340887
fp_050,Exact local BIC,100,0.0047619047619047615,1.0,0.1,20.1,20.0,0.1,0.0,0.0,0.9621692299340887
fp_050,Greedy local BIC,100,0.0047619047619047615,1.0,0.1,20.1,20.0,0.1,0.0,0.0,0.9621692299340887
fp_100,Candidate,100,0.5,1.0,20.0,40.0,20.0,20.0,0.0,0.0,0.9578945981748679
fp_100,Exact local BIC,100,0.013122529644268775,1.0,0.28,20.28,20.0,0.28,0.0,0.0,0.9578945981748679
fp_100,Greedy local BIC,100,0.013122529644268775,1.0,0.28,20.28,20.0,0.28,0.0,0.0,0.9578945981748679
lowvar_heterogeneous,Candidate,100,0.0,1.0,0.0,20.0,20.0,0.0,0.0,0.0,0.4763879808229023
lowvar_heterogeneous,Exact local BIC,100,0.0,1.0,0.0,20.0,20.0,0.0,0.0,0.0,0.4763879808229023
lowvar_heterogeneous,Greedy local BIC,100,0.0,1.0,0.0,20.0,20.0,0.0,0.0,0.0,0.4763879808229023
lowvar_weak_fp,Candidate,100,0.33333333333333326,1.0,10.0,30.0,20.0,10.0,0.0,0.0,0.5030530597762651
lowvar_weak_fp,Exact local BIC,100,0.004818865345181135,0.9790000000000001,0.52,19.68,19.58,0.1,0.42,0.0,0.5030530597762651
lowvar_weak_fp,Greedy local BIC,100,0.005727956254272044,0.9790000000000001,0.54,19.7,19.58,0.12,0.42,0.0,0.5030530597762651
missing_010,Candidate,100,0.0,0.9,2.0,18.0,18.0,0.0,2.0,0.0,0.9695108750907679
missing_010,Exact local BIC,100,0.0,0.899,2.02,17.98,17.98,0.0,2.02,0.0,0.9695108750907679
missing_010,Greedy local BIC,100,0.0,0.899,2.02,17.98,17.98,0.0,2.02,0.0,0.9695108750907679
reversal_010,Candidate,100,0.1,0.9,2.0,20.0,18.0,2.0,2.0,2.0,0.963135098349228
reversal_010,Exact local BIC,100,0.10015789473684211,0.8985000000000001,2.03,19.97,17.97,2.0,2.03,2.0,0.963135098349228
reversal_010,Greedy local BIC,100,0.10015789473684211,0.8985000000000001,2.03,19.97,17.97,2.0,2.03,2.0,0.963135098349228
weak_fp,Candidate,100,0.33333333333333326,1.0,10.0,30.0,20.0,10.0,0.0,0.0,0.9107541452974296
weak_fp,Exact local BIC,100,0.009666666666666667,0.9815,0.57,19.83,19.63,0.2,0.37,0.0,0.9107541452974296
weak_fp,Greedy local BIC,100,0.009666666666666667,0.9815,0.57,19.83,19.63,0.2,0.37,0.0,0.9107541452974296
