method,setting,rep,seed,d,n,name,true_edges,true_max_indegree,candidate_max_indegree,false_positive_ratio,missing_ratio,reversal_ratio,weak_fraction,error_regime,missing_achieved,reversals_achieved,false_positive_additions_achieved,varsortability,error_scale_ratio,candidate_edges,candidate_max_indegree_achieved,candidate_enumeration_fits,initial_pruning_pressure,candidate_bic,exact_bic,greedy_bic,candidate_to_exact_bic_improvement,greedy_bic_gap,greedy_suboptimal,exact_greedy_jaccard,exact_greedy_disagreement_edges,exact_runtime_seconds,greedy_runtime_seconds,exact_score_evaluations,greedy_score_evaluations,edges,true_positives,false_positives,false_negatives,reversals,fdr,tpr,shd
Candidate,clean_sparse,0,48151623,20,500,clean_sparse,20,3,4,0.0,0.0,0.0,0.0,homoskedastic,0,0,0,0.9714285714285714,1.0,20,3,54,0.0,150.0143095817229,150.0143095817229,150.0143095817229,0.0,0.0,False,1.0,0,0.009954100009053946,0.011252399999648333,54,40,20,20,0,0,0,0.0,1.0,0
Exact local BIC,clean_sparse,0,48151623,20,500,clean_sparse,20,3,4,0.0,0.0,0.0,0.0,homoskedastic,0,0,0,0.9714285714285714,1.0,20,3,54,0.0,150.0143095817229,150.0143095817229,150.0143095817229,0.0,0.0,False,1.0,0,0.009954100009053946,0.011252399999648333,54,40,20,20,0,0,0,0.0,1.0,0
Greedy local BIC,clean_sparse,0,48151623,20,500,clean_sparse,20,3,4,0.0,0.0,0.0,0.0,homoskedastic,0,0,0,0.9714285714285714,1.0,20,3,54,0.0,150.0143095817229,150.0143095817229,150.0143095817229,0.0,0.0,False,1.0,0,0.009954100009053946,0.011252399999648333,54,40,20,20,0,0,0,0.0,1.0,0
Candidate,clean_sparse,1,48151624,20,500,clean_sparse,20,3,4,0.0,0.0,0.0,0.0,homoskedastic,0,0,0,0.9375,1.0,20,3,49,0.0,175.05894925601797,175.05894925601797,175.05894925601797,0.0,0.0,False,1.0,0,0.008597500040195882,0.01092969998717308,49,40,20,20,0,0,0,0.0,1.0,0
Exact local BIC,clean_sparse,1,48151624,20,500,clean_sparse,20,3,4,0.0,0.0,0.0,0.0,homoskedastic,0,0,0,0.9375,1.0,20,3,49,0.0,175.05894925601797,175.05894925601797,175.05894925601797,0.0,0.0,False,1.0,0,0.008597500040195882,0.01092969998717308,49,40,20,20,0,0,0,0.0,1.0,0
Greedy local BIC,clean_sparse,1,48151624,20,500,clean_sparse,20,3,4,0.0,0.0,0.0,0.0,homoskedastic,0,0,0,0.9375,1.0,20,3,49,0.0,175.05894925601797,175.05894925601797,175.05894925601797,0.0,0.0,False,1.0,0,0.008597500040195882,0.01092969998717308,49,40,20,20,0,0,0,0.0,1.0,0
Candidate,clean_sparse,2,48151625,20,500,clean_sparse,20,3,4,0.0,0.0,0.0,0.0,homoskedastic,0,0,0,0.9818181818181818,1.0,20,3,52,0.0,80.97851908296383,80.97851908296383,80.97851908296383,0.0,0.0,False,1.0,0,0.009133299929089844,0.011361400014720857,52,40,20,20,0,0,0,0.0,1.0,0
Exact local BIC,clean_sparse,2,48151625,20,500,clean_sparse,20,3,4,0.0,0.0,0.0,0.0,homoskedastic,0,0,0,0.9818181818181818,1.0,20,3,52,0.0,80.97851908296383,80.97851908296383,80.97851908296383,0.0,0.0,False,1.0,0,0.009133299929089844,0.011361400014720857,52,40,20,20,0,0,0,0.0,1.0,0
Greedy local BIC,clean_sparse,2,48151625,20,500,clean_sparse,20,3,4,0.0,0.0,0.0,0.0,homoskedastic,0,0,0,0.9818181818181818,1.0,20,3,52,0.0,80.97851908296383,80.97851908296383,80.97851908296383,0.0,0.0,False,1.0,0,0.009133299929089844,0.011361400014720857,52,40,20,20,0,0,0,0.0,1.0,0
Candidate,clean_sparse,3,48151626,20,500,clean_sparse,20,3,4,0.0,0.0,0.0,0.0,homoskedastic,0,0,0,1.0,1.0,20,3,56,0.0,79.76743423198631,79.76743423198631,79.76743423198631,0.0,0.0,False,1.0,0,0.009191200020723045,0.010641300003044307,56,40,20,20,0,0,0,0.0,1.0,0
Exact local BIC,clean_sparse,3,48151626,20,500,clean_sparse,20,3,4,0.0,0.0,0.0,0.0,homoskedastic,0,0,0,1.0,1.0,20,3,56,0.0,79.76743423198631,79.76743423198631,79.76743423198631,0.0,0.0,False,1.0,0,0.009191200020723045,0.010641300003044307,56,40,20,20,0,0,0,0.0,1.0,0
