setting,replicates,greedy_minus_exact_fdr_mean,greedy_minus_exact_fdr_ci_low,greedy_minus_exact_fdr_ci_high,greedy_minus_exact_tpr_mean,greedy_minus_exact_tpr_ci_low,greedy_minus_exact_tpr_ci_high,greedy_minus_exact_shd_mean,greedy_minus_exact_shd_ci_low,greedy_minus_exact_shd_ci_high,greedy_minus_exact_edges_mean,greedy_minus_exact_edges_ci_low,greedy_minus_exact_edges_ci_high,greedy_bic_gap_mean,greedy_bic_gap_ci_low,greedy_bic_gap_ci_high,greedy_bic_gap_max,exact_greedy_jaccard_mean,exact_runtime_seconds_mean,greedy_runtime_seconds_mean,greedy_suboptimal_count,greedy_suboptimal_frequency,greedy_suboptimal_wilson_low,greedy_suboptimal_wilson_high
clean_sparse,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.008903013002127409,0.010889039998874068,0,0.0,0.0,0.03699349820698568
combined_contamination,100,0.0009458469458469458,-8.384551314962266e-05,0.0019755394048435143,0.0007500000000000007,-0.00010046816466957489,0.0016004681646695762,0.0,-0.028202431697773117,0.028202431697773117,0.08,0.001843128643945563,0.15815687135605444,0.1446079224751884,-0.0032072921661329135,0.2924231371165097,5.2581423053343315,0.9978932778932779,0.06378826600150206,0.027479132001753896,4,0.04,0.01566330399154762,0.0983707143588792
dense_high_indegree,100,0.0013613159387407827,-0.0001823585518676348,0.0029049904293492,0.0,0.0,0.0,0.06,-0.008037453173565995,0.128037453173566,0.06,-0.008037453173565995,0.128037453173566,0.06454136935419683,-0.013160911751010834,0.14224365045940449,2.993217167049238,0.9986046511627907,0.4065724239929114,0.04414239499950781,3,0.03,0.010254524024038925,0.0845193642905276
dense_moderate,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07339153799810447,0.027283034006832168,0,0.0,0.0,0.03699349820698568
fp_025,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.011615648007718846,0.012848037000512704,0,0.0,0.0,0.03699349820698568
fp_050,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.013647512001916766,0.013989876999985426,0,0.0,0.0,0.03699349820698568
fp_100,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.025382636002032086,0.019292003002483397,0,0.0,0.0,0.03699349820698568
lowvar_heterogeneous,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.009598198994062841,0.011511637994553894,0,0.0,0.0,0.03699349820698568
lowvar_weak_fp,100,0.0009090909090909091,-0.0008947426831897114,0.0027129245013715296,0.0,0.0,0.0,0.02,-0.019684339030173647,0.059684339030173644,0.02,-0.019684339030173647,0.059684339030173644,0.02187565564570832,-0.02153039111187275,0.0652817024032894,2.187565564570832,0.999090909090909,0.015616699998499826,0.01519372700364329,1,0.01,0.0017674320641406505,0.054486196178705315
missing_010,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00860095800482668,0.010778869002824648,0,0.0,0.0,0.03699349820698568
reversal_010,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.009170096004381775,0.011238642999669536,0,0.0,0.0,0.03699349820698568
weak_fp,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.014768297005211935,0.01490231299889274,0,0.0,0.0,0.03699349820698568
