s,method,fdr,tpr,shd,edges,tp,fp,fn
1,Equal-sparsity standardized |W|,0.0756850459482038,0.8474999999999999,3.4,18.25,16.95,1.3,3.05
1,Equal-sparsity |W|,0.0756850459482038,0.8474999999999999,3.4,18.25,16.95,1.3,3.05
1,NOTEARS,0.0756850459482038,0.8474999999999999,3.4,18.25,16.95,1.3,3.05
1,NOTEARS-BP,0.0756850459482038,0.8474999999999999,3.4,18.25,16.95,1.3,3.05
4,Equal-sparsity standardized |W|,0.1190086429308565,0.7849999999999999,6.2,17.8,15.7,2.1,4.3
4,Equal-sparsity |W|,0.0838499742002063,0.8150000000000001,5.0,17.8,16.3,1.5,3.7
4,NOTEARS,0.1390572963328381,0.8400000000000001,6.05,19.85,16.8,3.05,3.2
4,NOTEARS-BP,0.0554201066391468,0.8400000000000001,4.0,17.8,16.8,1.0,3.2
7,Equal-sparsity standardized |W|,0.2255453724552021,0.71,9.85,18.45,14.2,4.25,5.8
7,Equal-sparsity |W|,0.17660638896707,0.755,8.15,18.45,15.1,3.35,4.9
7,NOTEARS,0.2536695835145666,0.8225,9.65,22.75,16.45,6.3,3.55
7,NOTEARS-BP,0.104025661301203,0.82,5.45,18.45,16.4,2.05,3.6
