from,to,candidate_weight,exact_retained,greedy_retained
Avg_parity_farrow,Cull_rate_annual,-1.232013090586588,True,True
Gestation_days,Cull_rate_annual,1.7151818132205694,True,True
Last_week_wean_bred_rate,Cull_rate_annual,-0.8281837159034857,True,True
MYCO_binary,Cull_rate_annual,-0.6537250201030606,False,False
Mummies_avg,Cull_rate_annual,-0.49971414447570445,False,False
PRRS_binary,Cull_rate_annual,-1.9974125694139901,False,False
Q4,Cull_rate_annual,-1.0553988429295458,False,False
abortions_rate,Cull_rate_annual,-1.0023060390208873,True,True
avg_parity_at_farrow,Cull_rate_annual,0.9640770333760016,True,True
gilts_bred_rate,Cull_rate_annual,0.39302280368926396,True,True
pregnant_105days_rate,Cull_rate_annual,-0.3957657104266019,False,False
repeats__rate,Cull_rate_annual,-1.4007348788167004,True,True
services_per_inventory_N_rate,Cull_rate_annual,-5.77224576438965,True,True
wean_to_service,Cull_rate_annual,-0.8302247836510325,False,False
Born_alive_avg,Farrowing__rate,0.4793300426981615,True,True
Total_born_avg,Farrowing__rate,0.4564518874106468,False,False
Total_born_avg,Gestation_days,0.32644081391629465,True,True
Avg_parity_farrow,HeadIn,-16.55264831004918,True,True
Born_alive_avg,HeadIn,-24.319103278123634,False,False
Cull_rate_annual,HeadIn,0.3723104885567965,False,False
Farrowing__rate,HeadIn,7.240855625610694,False,False
Interval_farrows,HeadIn,-5.732055881128225,False,False
Lactation_days,HeadIn,-26.641674848474732,False,False
Last_week_wean_bred_rate,HeadIn,-5.678327158991985,False,False
LateralPRRS_binary,HeadIn,273.99289138222565,True,True
Litters_female_year,HeadIn,-1.4013404963500042,False,False
MYCO_binary,HeadIn,134.24733560476352,False,False
Mummies_avg,HeadIn,16.781336141556665,False,False
PRRS_binary,HeadIn,34.33041339414946,False,False
PWSow,HeadIn,55.02671435230981,True,False
Pre_weaning_mortality,HeadIn,12.998642785401561,False,False
Q2,HeadIn,-96.87225366757626,False,False
Q3,HeadIn,8.891125030452194,False,False
Q4,HeadIn,30.526935134030193,False,False
Sow_Death_rate,HeadIn,20.215429827217328,False,True
Stillborn_avg,HeadIn,-123.7839597491601,True,True
Total_born_avg,HeadIn,-35.61460614311249,False,False
abortions_rate,HeadIn,3.616779132181861,False,False
avg_parity_at_farrow,HeadIn,269.8747253138922,True,True
gilts_bred_rate,HeadIn,-16.159106059307508,True,False
mortality_60days,HeadIn,2.3918286437048053,False,False
nonproductive_days,HeadIn,-7.546862128412235,False,False
