variable,candidate_indegree,local_enumeration_fits
HeadIn,32,4294967296
mated_inventory_20wks,31,2147483648
final_inventory,30,1073741824
PWMFyear,28,268435456
Cull_rate_annual,14,16384
Interval_farrows,9,512
Litters_female_year,9,512
Last_week_wean_bred_rate,6,64
number_services,6,64
gilts_bred_rate,5,32
mortality_60days,4,16
Stillborn_avg,3,8
Farrowing__rate,2,4
Mummies_avg,2,4
repeats__rate,2,4
Gestation_days,1,2
nonproductive_days,1,2
Avg_parity_farrow,0,1
Born_alive_avg,0,1
Lactation_days,0,1
LateralPRRS_binary,0,1
MYCO_binary,0,1
PRRS_binary,0,1
PWSow,0,1
Pre_weaning_mortality,0,1
Q2,0,1
Q3,0,1
Q4,0,1
Sow_Death_rate,0,1
Total_born_avg,0,1
abortions_rate,0,1
avg_parity_at_farrow,0,1
pregnant_105days_rate,0,1
prenatal_losses_avg,0,1
productive_days_rate,0,1
services_per_inventory_N_rate,0,1
wean_to_service,0,1
