,PRRS_binary,MYCO_binary,LateralPRRS_binary,Q2,Q3,Q4,Avg_parity_farrow,Litters_female_year,mated_inventory_20wks,PWMFyear,nonproductive_days,number_services,wean_to_service,abortions_rate,Total_born_avg,Stillborn_avg,Mummies_avg,prenatal_losses_avg,Born_alive_avg,Gestation_days,Interval_farrows,Pre_weaning_mortality,PWSow,productive_days_rate,services_per_inventory_N_rate,repeats__rate,gilts_bred_rate,Last_week_wean_bred_rate,pregnant_105days_rate,Cull_rate_annual,Sow_Death_rate,avg_parity_at_farrow,Lactation_days,final_inventory,Farrowing__rate,HeadIn,mortality_60days
PRRS_binary,0.0,0.0,5.179217614385018e-05,0.0,0.0,0.0,0.0,-5.973825851724531e-06,12.67753503246129,2.1946575660717285,0.0,0.27660933118066594,1.2211011615639418e-05,0.16693078119684024,0.0,0.0,0.0,0.0,0.0,0.0,-0.4164060040261574,0.0,0.0,-0.0002196420529949052,0.0,7.577863447602245e-05,0.0,0.0,-0.0002901570175653667,-1.9974125694139901,9.53019359232592e-07,0.0,0.0,-14.837196768719178,0.13413776570814837,34.33041339414946,0.36143887395085605
MYCO_binary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012269666910051356,22.2642827332217,-8.158027848884757,0.0,1.2586993175577292,0.0,8.659165547372739e-06,0.0,-6.857981213081176e-05,0.0,0.0,-7.3294062632287845e-06,0.0,0.4591387839842038,0.0,0.0,-1.192995227168764e-06,0.0,2.148167546204948e-05,0.9505086061032592,0.0001388018213773852,0.013100191730891608,-0.6537250201030606,-0.2333390527385092,0.0,0.06433002244418456,-61.11550137294287,0.0,134.24733560476352,0.5267824119069798
LateralPRRS_binary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9873288314711333,-13.342727271646325,0.4469983158812275,0.0,0.00232109199089777,0.0,-7.916302494940475e-06,0.0,0.0,0.0,0.0,0.0024890525835607434,0.0,-0.8911768906442344,0.0,0.0,0.0,0.0,-0.00013054316235346222,-6.260715958310149e-05,-0.0418594585159931,0.04595703422353168,0.0003012569262625522,0.0,0.0,0.0,11.655628032060564,0.0,273.99289138222565,0.0
Q2,0.0,0.0,-6.9590236392749466e-06,0.0,0.0,0.0,0.0,-4.793009558479312e-05,-23.03430637929397,-4.846491833605558,0.0,0.18411758191631072,0.0,0.0,0.0,0.0,0.0,0.0,0.003617607844075835,0.0,1.9450232453273268,0.0,0.0,0.00013612627511218602,0.0,-2.22977869027044e-05,0.0,-1.4572757564764394,-0.007869256458667739,-2.327699821568502e-05,0.0,0.0,0.0,9.84836464441357,0.0,-96.87225366757626,0.0
Q3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060351625235096996,-5.37294200224548,54.46220156441061,0.0,0.00039315330754525904,0.0,-0.07585261200168722,0.0,0.0,0.0,0.0,0.0002159698207213215,0.0,-0.07867025544773516,0.0,0.0,-7.320526883064725e-12,0.0,-0.0001316297468476652,-0.0530163542551087,-1.0873359885817022,0.04920683429095604,-0.04623376772651858,-2.8897810474813718e-05,0.0,0.0,3.7850039313381694,0.2645765865993212,8.891125030452194,-0.360567727907676
Q4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00014235312878516334,31.121352486289823,-8.822967882576295,0.0,0.09632034554300613,0.0,0.010438692254820253,0.0,0.0,-0.0072124414547968555,0.0,0.0,0.0,-0.9719349474572312,0.0,0.0,-2.244265271821366e-06,0.0,0.0,0.0,0.8560690888618379,0.0,-1.0553988429295458,0.0,0.0,0.0,-24.780786930315553,0.0,30.526935134030193,0.0
Avg_parity_farrow,0.0,0.0,-7.956677065769254e-06,0.0,0.0,0.0,0.0,-0.0007179674701284042,-13.49722039291439,8.9335323003375,0.0,0.0015011043549641478,-1.533092540452268e-05,0.0,0.0,0.05938153977579434,-8.016519625273419e-06,0.0,-0.0013103253566044456,0.0,-0.4477211529777532,0.0,0.0,0.00033434109466312244,0.0,0.0,-0.00033877442838233836,0.17050789988466095,0.00019050549041256304,-1.232013090586588,-0.20840448961624883,0.18280416404010902,0.0,15.316243004499146,0.0774691016700141,-16.55264831004918,0.0
Litters_female_year,-6.224755599859577e-09,-1.0642080640332896e-08,1.157264595263996e-08,-9.427778002724096e-12,-8.53699383147194e-09,8.870957959742146e-08,-4.2405185307625715e-08,0.0,-0.27756037153040386,6.9393025436519045,3.139769333415643e-09,-0.01989398709649659,-2.6792335128256184e-08,-8.508912974214411e-08,2.016137083671321e-09,3.798372678609496e-07,6.173875277681873e-08,-5.505949418616041e-09,1.5005382492105923e-09,2.6405116758799856e-08,2.662728947597226e-06,-2.873568272221405e-07,-2.135326972820678e-06,1.7248750643350519e-06,2.498615459933101e-09,3.296279728088637e-06,-3.9409636749809795e-07,-5.038517437629814e-07,-1.1014230919051404e-06,-0.030218680307407233,-1.907455212755288e-07,-8.742658246440813e-08,4.834486309543418e-09,-0.10396506258564045,-1.108132377768134e-06,-1.4013404963500042,-7.906001564084164e-06
mated_inventory_20wks,-4.98859549155628e-10,3.071935735302067e-09,1.0670631620792945e-07,4.56060939013625e-10,6.55029891230563e-07,3.6003216952879002e-09,-4.4662103876325077e-10,3.847961639448158e-05,0.0,-0.12633557162089082,-4.7943440154322656e-08,7.512036910850561e-07,9.906177507457148e-08,1.564559126178422e-07,1.0037530069270661e-09,1.0525690629509254e-07,1.9675335666269334e-10,-2.07165242252505e-09,7.15562870241826e-10,6.617824832577668e-08,-6.22811201396456e-09,2.736102712452837e-09,3.1043053849710844e-08,-6.010882092066794e-08,4.824242116896471e-10,2.00591476762213e-07,-1.4065065112589537e-08,1.9981681631357773e-07,1.0591392068167328e-05,1.204515608817236e-06,-2.5438125450319427e-06,-9.718903903888076e-09,-1.650314625789573e-07,0.0003564525369252336,-3.926245034292786e-06,0.2519621262819397,8.250426813370682e-07
PWMFyear,4.000650435931341e-09,2.93778834592473e-10,-1.2781069966619207e-07,-1.241911433171039e-07,-5.921553480284919e-08,5.5583557484993606e-08,3.472219203826121e-08,2.463045442532841e-07,-0.0012010714873376405,0.0,2.5988749735583738e-08,-2.0594281526890856e-06,-2.6310342793323116e-12,-1.8052519687450364e-09,-4.402064938697353e-09,5.907931705699879e-09,7.59008507086878e-11,2.0178496433487236e-07,-4.3958700872079315e-08,-6.351466809201463e-09,-1.2070649613171724e-07,6.948291969566256e-09,-8.394398956328153e-10,-1.537011737355251e-07,1.1929720804965127e-09,-1.7022765453136857e-07,1.670468104120193e-10,5.519080296251255e-08,7.878696418363307e-09,-3.564748336212786e-05,3.1282453256085974e-07,-1.510251057545986e-08,5.8929381395456115e-08,-0.0003468326789886067,1.4249392045213166e-07,0.059254771554189414,-3.574265356291739e-07
