child,candidate_indegree,exact_indegree,greedy_indegree,candidate_parents,exact_parents,greedy_parents,exact_local_bic,greedy_local_bic,greedy_local_bic_gap,edge_sets_equal,exact_method,exact_certified,exact_score_evaluations,exact_search_nodes
PRRS_binary,0,0,0,,,,-6857.965143228044,-6857.965143228044,0.0,True,enumeration,True,1,1
MYCO_binary,0,0,0,,,,-3695.7208893212483,-3695.7208893212483,0.0,True,enumeration,True,1,1
LateralPRRS_binary,0,0,0,,,,-5062.089381121252,-5062.089381121252,0.0,True,enumeration,True,1,1
Q2,0,0,0,,,,-4270.837565393695,-4270.837565393695,0.0,True,enumeration,True,1,1
Q3,0,0,0,,,,-3898.4974856539666,-3898.4974856539666,0.0,True,enumeration,True,1,1
Q4,0,0,0,,,,-4572.398097083423,-4572.398097083423,0.0,True,enumeration,True,1,1
Avg_parity_farrow,0,0,0,,,,-2055.564399285198,-2055.564399285198,0.0,True,enumeration,True,1,1
Litters_female_year,9,4,6,LateralPRRS_binary; Total_born_avg; Stillborn_avg; Mummies_avg; Born_alive_avg; Interval_farrows; PWSow; repeats__rate; Farrowing__rate,Born_alive_avg; Interval_farrows; repeats__rate; Farrowing__rate,Total_born_avg; Stillborn_avg; Mummies_avg; Interval_farrows; repeats__rate; Farrowing__rate,19202.16662972418,19215.21642269971,13.049792975529272,False,enumeration,True,512,512
mated_inventory_20wks,31,15,14,PRRS_binary; MYCO_binary; LateralPRRS_binary; Q2; Q3; Q4; Avg_parity_farrow; number_services; wean_to_service; abortions_rate; Total_born_avg; Stillborn_avg; Mummies_avg; prenatal_losses_avg; Born_alive_avg; Gestation_days; Interval_farrows; Pre_weaning_mortality; PWSow; services_per_inventory_N_rate; repeats__rate; gilts_bred_rate; Last_week_wean_bred_rate; pregnant_105days_rate; Cull_rate_annual; Sow_Death_rate; avg_parity_at_farrow; Lactation_days; final_inventory; Farrowing__rate; mortality_60days,MYCO_binary; Q4; Avg_parity_farrow; number_services; prenatal_losses_avg; Interval_farrows; services_per_inventory_N_rate; repeats__rate; gilts_bred_rate; Last_week_wean_bred_rate; Cull_rate_annual; Sow_Death_rate; avg_parity_at_farrow; final_inventory; Farrowing__rate,Q4; Avg_parity_farrow; number_services; Mummies_avg; Interval_farrows; services_per_inventory_N_rate; repeats__rate; gilts_bred_rate; Last_week_wean_bred_rate; Cull_rate_annual; Sow_Death_rate; avg_parity_at_farrow; final_inventory; Farrowing__rate,29086.985991832036,29089.510021208174,2.52402937613806,False,branch-and-bound,True,680555,680561
PWMFyear,28,9,10,PRRS_binary; MYCO_binary; LateralPRRS_binary; Q2; Q3; Q4; Avg_parity_farrow; Litters_female_year; wean_to_service; abortions_rate; Total_born_avg; Stillborn_avg; Mummies_avg; prenatal_losses_avg; Born_alive_avg; Gestation_days; Interval_farrows; productive_days_rate; services_per_inventory_N_rate; repeats__rate; gilts_bred_rate; Last_week_wean_bred_rate; pregnant_105days_rate; Sow_Death_rate; avg_parity_at_farrow; Lactation_days; Farrowing__rate; mortality_60days,Q3; Litters_female_year; Born_alive_avg; Interval_farrows; repeats__rate; Last_week_wean_bred_rate; pregnant_105days_rate; Sow_Death_rate; Farrowing__rate,Q3; Litters_female_year; Total_born_avg; prenatal_losses_avg; Interval_farrows; repeats__rate; Last_week_wean_bred_rate; pregnant_105days_rate; Sow_Death_rate; Farrowing__rate,32093.124267314466,32099.83132885669,6.707061542223528,False,branch-and-bound,True,1296,1295
