,missing_n
wean_to_service,28
gilts_bred_rate,23
repeats__rate,23
abortions_rate,23
Farrowing__rate,12
Interval_farrows,12
pregnant_105days_rate,12
PWMFyear,3
mated_inventory_20wks,3
Litters_female_year,1
PRRS_binary,0
LateralPRRS_binary,0
MYCO_binary,0
Q3,0
Q2,0
Stillborn_avg,0
Total_born_avg,0
number_services,0
nonproductive_days,0
Q4,0
Avg_parity_farrow,0
Gestation_days,0
Born_alive_avg,0
prenatal_losses_avg,0
Mummies_avg,0
services_per_inventory_N_rate,0
productive_days_rate,0
PWSow,0
Pre_weaning_mortality,0
Last_week_wean_bred_rate,0
Cull_rate_annual,0
avg_parity_at_farrow,0
Sow_Death_rate,0
Lactation_days,0
final_inventory,0
HeadIn,0
mortality_60days,0
